month,year,first earning gross,first earning netto,second earning gross,second earning netto,rent,rent all
1,2021,4000,3600,2700,2400,1200,1670
2,2021,4000,3650,2700,2400,1200,1670
3,2021,4000,3650,2700,2400,1200,1670
4,2021,4000,3600,2700,2400,1200,1670
5,2021,4000,3600,2700,2400,1200,1670
6,2021,4000,3600,2700,2400,1200,1670
7,2021,4000,3600,2700,2400,1200,1670
8,2021,4000,3650,2700,2400,1200,1670
9,2021,4000,3650,2700,2400,1200,1670
10,2021,4000,3750,2800,2600,1600,2150
11,2021,4000,3750,2800,2600,1600,2150
12,2021,4000,3700,2800,2600,1600,2150
1,2022,4500,4000,3000,2700,1600,2150
2,2022,4500,4050,3000,2700,1600,2150
3,2022,4500,4050,3000,2700,1600,2150
4,2022,4500,4000,3000,2700,1600,2150
5,2022,4500,4000,3000,2700,1600,2150
6,2022,4500,4000,3000,2700,1600,2150
7,2022,4500,4000,3000,2700,1600,2150
8,2022,4500,4050,3000,2700,1600,2150
9,2022,4500,4050,3000,2700,2100,2650
10,2022,4500,4050,3000,2700,2100,2650
11,2022,4500,4050,3000,2700,2100,2650
12,2022,4500,4000,3000,2700,2100,2650
1,2023,4500,4000,4000,3000,2100,2650
2,2023,4500,4000,4000,3100,2100,2650
3,2023,4500,4050,4000,3100,2100,2650
4,2023,4500,4050,4000,3100,2100,2650
5,2023,4500,4050,4000,3100,2100,2650
6,2023,4500,4000,4000,3100,2100,2650
7,2023,4500,4000,4000,3100,2100,2650
8,2023,4500,4000,4000,3100,2482,3500
9,2023,4500,4000,4000,3100,2850,3500
10,2023,4500,4000,4000,3100,2850,3500
11,2023,4500,4000,4000,3100,2850,3500
12,2023,4500,4000,4000,3100,2850,3500
